NOMBRE,CARTEGORIA,FECHA
PROGRAMA DE ARTES EN LA ESCUELA – PASE 2019,"Formación, Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización","Septiembre 17, 2019"
ENCUENTRO CONECTA LIMA 2019,"Conferencias y ponencias, Exposiciones, Formación, Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización","Septiembre 02, 2019"
ENCUENTRO CONECTA LIMA 2019: revisa la lista de seleccionados,"Conferencias y ponencias, Formación, Herramientas de autoformación, Oferta Educativa Profesional, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización","Septiembre 01, 2019"
HERRAMIENTAS DE GESTIÓN PARA LAS ARTES ESCÉNICAS ,"Formación, Talleres y especialización","Julio 41, 2019"
“PURA CALLE”: EXPERIENCIA DE SISTEMATIZACIÓN,"Beneficiarios 2018, Danza, Estímulos Económicos, Festivales, Música, Talleres y especialización","Junio 55, 2019"
Taller: “Apreciación y aplicación de herramientas de Cine Contemporáneo”,"cine, Cine de ficción, Talleres y especialización","Junio 53, 2019"
RECORDATORIO: Charla informativa y Taller de Formulación de Proyectos Artísticos,"Formación, Herramientas de autoformación, Talleres y especialización","Junio 37, 2019"
"Sobre humor, arte y sensibilidad: reseña sobre el taller de Catherine Meurisse, “Ilustración: Proyecto Creativo”","Conferencias y ponencias, Editoriales, Formación, Talleres y especialización","Abril 25, 2019"
CINE VIVENCIAL AMAZÓNICO,"cine, Talleres y especialización","Abril 24, 2019"
"Actividades del centro cultural UDEP recital, conversatorio y curso","Centros culturales, Conferencias y ponencias, Talleres y especialización","Abril 59, 2019"
"ACTIVIDADES DEL CENTRO CULTURAL UDEP: SEMINARIO, CURSO Y CICLO DE CINE “MI PELÍCULA FAVORITA”","Centros culturales, Conferencias y ponencias, Ingreso libre, Talleres y especialización","Marzo 46, 2019"
Corriente – Encuentro internacional de actores de la música,"Formación, Herramientas de autoformación, Talleres y especialización","Marzo 00, 2019"
I ENCUENTRO DE LA RED DE TEATROS DEL PERÚ – Postula a las ayudas a la movilidad hasta el 17 de marzo,"Convocatorias, Formación, Talleres y especialización, Teatro","Febrero 23, 2019"
"PROGRAMA DE ARTES EN LA ESCUELA – PASE 2019. Sábado 23 de febrero. Taller “Alfabetización en audio, video y medios digitales para el aula”.","Cine y audiovisuales, Formación, Talleres y especialización","Febrero 57, 2019"
BRITÁNICO ofrecerá talleres para adultos dedicados a los amantes del arte en todas sus disciplinas,"Formación, Talleres y especialización","Diciembre 44, 2018"
Talleres gratuitos de “Introducción al malabarismo” en el Ministerio de Cultura – 17 y 18 de diciembre.,"Formación, Ingreso libre, Talleres y especialización, Teatro","Diciembre 14, 2018"
"EL JAGLISTA – Espectáculo de malabarismo, magia y humor de Jonathan Sajoux para todo público – Miércoles 19 de diciembre – Ingreso libre.","Convocatorias, Formación, Ingreso libre, Oportunidades y recursos, Talleres y especialización","Diciembre 16, 2018"
"PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 15 de diciembre. Taller “Técnicas para no olvidar. Memoria, Arte y Educación” y clausura del PASE 2018","Formación, Ingreso libre, Oportunidades y recursos, Talleres y especialización","Noviembre 24, 2018"
LA FÁBRICA DE HISTORIAS INICIACIÓN AL ARTE DEL RELATO,Talleres y especialización,"Octubre 54, 2018"
Taller Vive la Escena Escolar PUCP,"Formación, Talleres y especialización","Octubre 04, 2018"
